観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),現在値(mm),現在値の品質情報,今日の最大値(mm),今日の最大値の品質情報,今日の最大値起時（時）(まで),今日の最大値起時（分）(まで),今日の最大値起時(まで)の品質情報,極値更新,10年未満での極値更新,昨日までの観測史上1位の値(mm),昨日までの観測史上1位の値の品質情報,昨日までの観測史上1位の値の年,昨日までの観測史上1位の値の月,昨日までの観測史上1位の値の日,昨日までの7月の1位の値(mm),昨日までの7月の1位の値の品質情報,昨日までの7月の1位の値の年,昨日までの7月の1位の値の月,昨日までの7月の1位の値の日,統計開始年
11001,北海道 宗谷地方,宗谷岬（ソウヤミサキ）,,2020,07,08,11,00,30.5,8,30.5,4,11,00,8,,,162.0,8,2016,09,08,129,4,1995,07,25,1978
11016,北海道 宗谷地方,稚内（ワッカナイ）,47401,2020,07,08,11,00,19.0,8,19.0,4,11,00,8,,,224.0,8,2016,09,08,158,8,1995,07,25,1976
11046,北海道 宗谷地方,礼文（レブン）,,2020,07,08,11,00,14.5,8,14.5,4,11,00,8,,,208.0,8,2014,08,25,107.5,8,2015,07,15,2003
11061,北海道 宗谷地方,声問（コエトイ）,,2020,07,08,11,00,21.5,8,21.5,4,11,00,8,,,194.5,8,2016,09,08,107.0,8,2015,07,16,2003
11076,北海道 宗谷地方,浜鬼志別（ハマオニシベツ）,,2020,07,08,11,00,49.5,8,49.5,4,11,00,8,,,171,8,1981,08,06,148.0,8,2015,07,16,1978
11091,北海道 宗谷地方,本泊（モトドマリ）,,2020,07,08,11,00,10.0,8,10.0,4,11,00,8,,,229.0,8,2016,09,08,140.5,8,2012,07,14,2003
11121,北海道 宗谷地方,沼川（ヌマカワ）,,2020,07,08,11,00,42.5,8,42.5,4,11,00,8,,,149,8,1997,08,05,137.0,8,2010,07,30,1977
11151,北海道 宗谷地方,沓形（クツガタ）,,2020,07,08,11,00,15.0,8,15.0,4,11,00,8,,,224.0,8,2016,09,08,128.5,8,2010,07,30,1976
11176,北海道 宗谷地方,豊富（トヨトミ）,,2020,07,08,11,00,53.0,8,53.0,4,11,00,8,,,186,8,1999,08,01,151.0,8,2010,07,30,1976
11206,北海道 宗谷地方,浜頓別（ハマトンベツ）,,2020,07,08,11,00,9.5,8,9.5,4,11,00,8,,,177,8,1997,08,05,132,8,1999,07,27,1976
11276,北海道 宗谷地方,中頓別（ナカトンベツ）,,2020,07,08,11,00,14.0,8,14.0,4,11,00,8,,,176,8,1981,08,06,175.0,8,2010,07,30,1976
